feedback_id,customer_id,product_id,channel,feedback_date,text,true_themes,true_aspect_sentiments,true_overall_sentiment,predicted_sentiment,sentiment_confidence,detected_aspects,n_aspects_detected,dominant_true_theme,discovered_topic_id,discovered_topic_label,lifetime_value,tier,base_churn_prob,repeat_negative_count,primary_theme,theme_severity,theme_label_primary,sentiment_severity_score,customer_value_score,churn_risk_score,issue_growth_score,repeat_complaint_score,priority_score,priority_tier,inferred_themes
FB-0000085,CUST-004351,PROD-0053,chat,2024-01-01,"Delivery took way longer than promised In addition, support was rude and unhelpful In addition, an okay experience overall, nothing stood out.",delivery_delay|customer_support|general_satisfaction,delivery_delay:negative|customer_support:negative|general_satisfaction:neutral,negative,negative,1.0,Delivery:Negative|Customer Support:Negative,2,delivery_delay,1,General Satisfaction,311.8,Silver,0.18,0,delivery_delay,0.45,Delivery Delay,1.0,0.4976125,0.27,0.0,0.0,45.5,High,delivery_delay|customer_support|general_satisfaction
FB-0000036,CUST-000945,PROD-0125,survey,2024-01-01,Delivery arrived close to the estimated date.,delivery_delay,delivery_delay:neutral,neutral,neutral,1.0,Delivery:Neutral,1,delivery_delay,5,Delivery Delay,79.72,Bronze,0.28,0,delivery_delay,0.45,Delivery Delay,0.35,0.0246958333333333,0.28,0.0,0.0,22.3,Low,delivery_delay
FB-0000040,CUST-005267,PROD-0024,review,2024-01-01,The support agent resolved my issue in minutes.,customer_support,customer_support:positive,positive,positive,0.997,Customer Support:Positive,1,customer_support,6,Customer Service,190.14,Bronze,0.28,0,customer_support,0.55,Customer Service,0.0,0.3296125,0.28,0.0,0.0,20.1,Low,customer_support
FB-0000093,CUST-007132,PROD-0130,review,2024-01-01,Build quality feels premium and durable.,product_quality,product_quality:positive,positive,positive,0.999,Product Quality:Positive,1,product_quality,9,Product Quality,1547.4,Gold,0.1,0,product_quality,0.65,Product Quality,0.0,0.8827666666666667,0.1,0.0,0.0,27.7,Medium,product_quality
FB-0000075,CUST-004239,PROD-0076,support_ticket,2024-01-01,"Customer service was okay, nothing memorable.",customer_support,customer_support:neutral,neutral,neutral,1.0,Customer Support:Neutral,1,customer_support,6,Customer Service,207.35,Bronze,0.28,0,customer_support,0.55,Customer Service,0.35,0.366225,0.28,0.0,0.0,29.4,Medium,customer_support
FB-0000125,CUST-002075,PROD-0096,support_ticket,2024-01-01,Loved how fast and intuitive the website was.,app_performance,app_performance:positive,positive,positive,0.998,App/Website:Positive,1,app_performance,6,Customer Service,517.04,Silver,0.18,0,app_performance,0.5,App Performance,0.0,0.6483333333333333,0.18,0.0,0.0,22.4,Low,app_performance
FB-0000046,CUST-006473,PROD-0072,survey,2024-01-01,It would be great if you added a dark mode option.,feature_request,feature_request:neutral,neutral,neutral,0.995,Feature Requests:Neutral,1,feature_request,8,Pricing,249.43,Silver,0.18,0,feature_request,0.1,Feature Requests,0.34825,0.4323833333333333,0.18,0.0,0.0,19.9,Low,feature_request
FB-0000100,CUST-002328,PROD-0038,review,2024-01-01,"The app works fine most of the time However, a saved-payment-method feature would really help On top of that, the item arrived damaged.",app_performance|feature_request|product_quality,app_performance:neutral|feature_request:neutral|product_quality:negative,neutral,neutral,0.963,Product Quality:Negative|App/Website:Neutral|Feature Requests:Neutral,3,app_performance,7,App Performance,136.04,Bronze,0.28,0,product_quality,0.65,Product Quality,0.3370499999999999,0.1874,0.28,0.0,0.0,28.4,Medium,product_quality|app_performance|feature_request
FB-0000105,CUST-005131,PROD-0137,support_ticket,2024-01-01,Customer support was fast and genuinely helpful.,customer_support,customer_support:positive,positive,positive,0.999,Customer Support:Positive,1,customer_support,6,Customer Service,107.85,Bronze,0.28,0,customer_support,0.55,Customer Service,0.0,0.0938416666666666,0.28,0.0,0.0,16.6,Low,customer_support
FB-0000090,CUST-000446,PROD-0034,review,2024-01-01,"Packaging was sturdy and beautifully presented In addition, build quality feels premium and durable.",packaging|product_quality,packaging:positive|product_quality:positive,positive,positive,1.0,Product Quality:Positive|Packaging:Positive,2,packaging,9,Product Quality,271.48,Silver,0.18,0,product_quality,0.65,Product Quality,0.0,0.4557583333333333,0.18,0.0,0.0,22.5,Low,product_quality|packaging
